******0.920477	0.848154 @ round=5, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.908938	0.836713 @ round=6, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.916333	0.841394 @ round=7, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.916903	0.832553 @ round=8, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.905122	0.826833 @ round=9, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

<==========  END @ 2025-03-22T20:38:18, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

<==========  BEGIN @ 2025-03-22T20:38:18, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

******0.945128	0.868792 @ round=0, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.944263	0.877156 @ round=1, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.942546	0.868792 @ round=2, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.929607	0.864611 @ round=3, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.942221	0.874543 @ round=4, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.939574	0.877156 @ round=5, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.929356	0.85311 @ round=6, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.932693	0.867747 @ round=7, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.928713	0.854679 @ round=8, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.925124	0.845269 @ round=9, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

<==========  END @ 2025-03-22T20:43:22, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

<==========  BEGIN @ 2025-03-22T20:43:22, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

******0.948586	0.876511 @ round=0, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

